date,state,city,place_type,confirmed,deaths,is_last,estimated_population_2019,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2020-06-23,PA,Medicilândia,city,309,4,True,31597,1504455,977.94094,0.0129
2020-06-23,PA,Melgaço,city,184,7,True,27654,1504505,665.36487,0.038
2020-06-23,PA,Mocajuba,city,510,18,True,31136,1504604,1637.97533,0.0353
2020-06-23,PA,Moju,city,1132,28,True,82094,1504703,1378.90711,0.0247
2020-06-23,PA,Mojuí dos Campos,city,220,7,True,16084,1504752,1367.81895,0.0318
2020-06-23,PA,Monte Alegre,city,382,12,True,58032,1504802,658.25751,0.0314
2020-06-23,PA,Muaná,city,157,11,True,40349,1504901,389.10506,0.0701
2020-06-23,PA,Nova Esperança do Piriá,city,298,6,True,21368,1504950,1394.60876,0.0201
2020-06-23,PA,Nova Ipixuna,city,131,3,True,16678,1504976,785.46588,0.0229
2020-06-23,PA,Nova Timboteua,city,106,1,True,15363,1505007,689.96941,0.0094
2020-06-23,PA,Novo Progresso,city,278,1,True,25762,1505031,1079.10876,0.0036
2020-06-23,PA,Novo Repartimento,city,91,11,True,75919,1505064,119.86459,0.1209
2020-06-23,PA,Óbidos,city,66,4,True,52137,1505106,126.58956,0.0606
2020-06-23,PA,Oeiras do Pará,city,355,20,True,32512,1505205,1091.90453,0.0563
2020-06-23,PA,Oriximiná,city,631,21,True,73096,1505304,863.24833,0.0333
2020-06-23,PA,Ourém,city,109,2,True,17842,1505403,610.91806,0.0183
2020-06-23,PA,Ourilândia do Norte,city,857,3,True,32832,1505437,2610.25828,0.0035
2020-06-23,PA,Pacajá,city,228,6,True,47706,1505486,477.9273,0.0263
2020-06-23,PA,Palestina do Pará,city,20,1,True,7589,1505494,263.53933,0.05
2020-06-23,PA,Paragominas,city,1242,70,True,113145,1505502,1097.70648,0.0564
2020-06-23,PA,Parauapebas,city,9148,107,True,208273,1505536,4392.31201,0.0117
2020-06-23,PA,Pau D'Arco,city,28,1,True,5483,1505551,510.66934,0.0357
2020-06-23,PA,Peixe-Boi,city,57,2,True,8077,1505601,705.70756,0.0351
2020-06-23,PA,Piçarra,city,58,0,True,12981,1505635,446.80687,0.0
2020-06-23,PA,Placas,city,92,0,True,30982,1505650,296.94661,0.0
2020-06-23,PA,Ponta de Pedras,city,269,6,True,31082,1505700,865.45267,0.0223
2020-06-23,PA,Portel,city,662,35,True,62043,1505809,1067.00192,0.0529
2020-06-23,PA,Porto de Moz,city,392,22,True,41135,1505908,952.95977,0.0561
2020-06-23,PA,Prainha,city,107,4,True,29866,1506005,358.26693,0.0374
2020-06-23,PA,Primavera,city,184,6,True,10825,1506104,1699.76905,0.0326
